index,teks,aspek,sentimen,waktu
42158,Apk nya kurang sistem keamanannya,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-05-02 16:48:35
42159,"terimakasih, sangat amanah",Perilaku & Profesionalisme Driver,Positif,2024-05-02 15:34:00
42160,bgus bersih dan ramah sampai tempat tujuan Maksim emang zoos,Perilaku & Profesionalisme Driver,Positif,2024-05-02 14:42:41
42161,bgus bersih dan ramah sampai tempat tujuan Maksim emang zoos,Umum,Positif,2024-05-02 14:42:41
42162,driver ramah dan menunggu tidak lama,Perilaku & Profesionalisme Driver,Positif,2024-05-02 14:35:09
42163,driver ramah dan menunggu tidak lama,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-02 14:35:09
42164,"cepat, ramah dan baik",Perilaku & Profesionalisme Driver,Positif,2024-05-02 14:07:27
42165,tepat waktu dan sangat ramah,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-02 13:33:50
42166,tepat waktu dan sangat ramah,Perilaku & Profesionalisme Driver,Positif,2024-05-02 13:33:50
42167,"pelayananya bagus murah juga,bisa kasih tip ke bapaknya krn masih dikit kurirnya jadi jauh2 kasian, alhamdulillah cepet sampenya",Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-02 13:25:20
42168,"pelayananya bagus murah juga,bisa kasih tip ke bapaknya krn masih dikit kurirnya jadi jauh2 kasian, alhamdulillah cepet sampenya",Harga & Tarif,Positif,2024-05-02 13:25:20
42169,"pelayananya bagus murah juga,bisa kasih tip ke bapaknya krn masih dikit kurirnya jadi jauh2 kasian, alhamdulillah cepet sampenya",Ketersediaan Driver (Lama Menunggu),Negatif,2024-05-02 13:25:20
42170,"pelayananya bagus murah juga,bisa kasih tip ke bapaknya krn masih dikit kurirnya jadi jauh2 kasian, alhamdulillah cepet sampenya",Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-02 13:25:20
42171,tolong kasih pengertian(notifikasi semua driver dan sanksi ny)untuk driver yg suka alasan biaya parkir tanpa melampirkan bukti... padahal sy hampir tiap hr pesen untuk expres dan tarif pun sdh sy naikan dr normal... msh bnyk sj driver alasan biaya parkir...,Perilaku & Profesionalisme Driver,Negatif,2024-05-02 13:25:04
42172,tolong kasih pengertian(notifikasi semua driver dan sanksi ny)untuk driver yg suka alasan biaya parkir tanpa melampirkan bukti... padahal sy hampir tiap hr pesen untuk expres dan tarif pun sdh sy naikan dr normal... msh bnyk sj driver alasan biaya parkir...,Harga & Tarif,Netral,2024-05-02 13:25:04
42173,driver nya asik ngobrol walau ga saling kenal semangat terus buat abang driver nya,Perilaku & Profesionalisme Driver,Positif,2024-05-02 13:07:24
42174,"makasih,puas dengan perjalanannya drivernya ramah²",Perilaku & Profesionalisme Driver,Positif,2024-05-02 13:04:24
42175,"makasih,puas dengan perjalanannya drivernya ramah²",Umum,Positif,2024-05-02 13:04:24
42176,bagus dan ramah...,Umum,Positif,2024-05-02 12:53:11
42177,"bagus drivernya , sabar",Perilaku & Profesionalisme Driver,Positif,2024-05-02 12:43:14
42178,cepat drivernya,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-02 12:34:21
42179,"kalo malam kenapa tarif,nya bisa berubah mahal dan rute jalanannya di puter tidak jelas kalo dipantau dari aplikasi. padahal rute jalan biasa terdekat ada. tolong jangan mau tenaga dari ojolnya saja kasihan mereka bahan bakar digunakan sekarang tidak murah.",Harga & Tarif,Negatif,2024-05-02 12:33:13
42180,"kalo malam kenapa tarif,nya bisa berubah mahal dan rute jalanannya di puter tidak jelas kalo dipantau dari aplikasi. padahal rute jalan biasa terdekat ada. tolong jangan mau tenaga dari ojolnya saja kasihan mereka bahan bakar digunakan sekarang tidak murah.",Akurasi GPS & Peta,Negatif,2024-05-02 12:33:13
42181,"kalo malam kenapa tarif,nya bisa berubah mahal dan rute jalanannya di puter tidak jelas kalo dipantau dari aplikasi. padahal rute jalan biasa terdekat ada. tolong jangan mau tenaga dari ojolnya saja kasihan mereka bahan bakar digunakan sekarang tidak murah.",Perilaku & Profesionalisme Driver,Positif,2024-05-02 12:33:13
42182,"Terima Kasih Abangnya Baik, Tepat Waktu dan ramah trm ksh abang maxim",Perilaku & Profesionalisme Driver,Positif,2024-05-02 12:29:58
42183,"Terima Kasih Abangnya Baik, Tepat Waktu dan ramah trm ksh abang maxim",Ketersediaan Driver (Lama Menunggu),Positif,2024-05-02 12:29:58
42184,lumayan gampang & cukup membantu di saat membutuhkan ....,Umum,Positif,2024-05-02 12:23:22
42185,"Udah di cancel, ngirder ulang masih orang yang sama tolong di betulin dikit aplikasinya",Pembatalan oleh Driver,Negatif,2024-05-02 12:12:04
42186,"Udah di cancel, ngirder ulang masih orang yang sama tolong di betulin dikit aplikasinya",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-05-02 12:12:04
42187,"sopir sangat ramah,cepat, tepat dan damai dalam perjalanan..",Perilaku & Profesionalisme Driver,Positif,2024-05-02 12:01:15
42188,"pengemudi/driver sangat kasar dan tidak ramah, keluhan: pengemudi sangat kasar the driver is very rude",Perilaku & Profesionalisme Driver,Negatif,2024-05-02 11:19:32
42189,"Bantu tambahkan fitur kirim gambar di menu chat antara penumpang dan driver, untuk mempermudah komunikasi.",UI/UX Aplikasi (Tampilan/Desain),Positif,2024-05-02 10:38:42
42190,aman dan nyaman sampai tujuan,Umum,Positif,2024-05-02 10:33:40
42191,tau jalan Kenapa tidak dapat login. No hp masih sama,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-05-02 10:31:21
42192,driver sangat membantu dalam mengarahkan tujuan,Perilaku & Profesionalisme Driver,Positif,2024-05-02 10:18:18
42193,sangat ramah dan brsih,Perilaku & Profesionalisme Driver,Positif,2024-05-02 10:13:12
42194,sangat ramah dan brsih,Kondisi Kendaraan Driver,Positif,2024-05-02 10:13:12
42195,abang ya sabar maksih y,Perilaku & Profesionalisme Driver,Positif,2024-05-02 10:10:36
42196,driver mobil nya minta biaya tambahan padahal udah di kasih lebih katanya udah lewat dri jalur pdhl udah kasi jalur yg bener,Perilaku & Profesionalisme Driver,Negatif,2024-05-02 09:48:41
42197,driver mobil nya minta biaya tambahan padahal udah di kasih lebih katanya udah lewat dri jalur pdhl udah kasi jalur yg bener,Akurasi GPS & Peta,Negatif,2024-05-02 09:48:41
42198,drivernya banyak badattitude 🙏🙏🙏🙏,Perilaku & Profesionalisme Driver,Negatif,2024-05-02 09:44:04
42199,"Pelayanan baik, harga murah. mantap sukses Maxim timika",Customer Service,Positif,2024-05-02 09:39:07
42200,"Pelayanan baik, harga murah. mantap sukses Maxim timika",Harga & Tarif,Positif,2024-05-02 09:39:07
42201,"Pelayanan baik, harga murah. mantap sukses Maxim timika",Umum,Positif,2024-05-02 09:39:07
42202,Posisi mobil saat penjemputan tidak sinkron dengan waktu,Akurasi GPS & Peta,Negatif,2024-05-02 09:17:35
42203,Keren Maxim bisa nentuin kita kapan di jemput dan Abang Abang nya juga baik bgt bawa pelanggan nya juga hati hati bgt,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-02 09:12:13
42204,Keren Maxim bisa nentuin kita kapan di jemput dan Abang Abang nya juga baik bgt bawa pelanggan nya juga hati hati bgt,Perilaku & Profesionalisme Driver,Positif,2024-05-02 09:12:13
42205,Belum nyaman dengan Maps nya,Akurasi GPS & Peta,Negatif,2024-05-02 08:50:44
42206,Kaspro nya susah banget masuk saldonya,Sistem Pembayaran & Promo,Negatif,2024-05-02 08:40:01
42207,thanks to driver baik ramah sopan bintang 5 Untuk abang driver yg ganteng,Perilaku & Profesionalisme Driver,Positif,2024-05-02 08:27:15
42208,"kurirnya ramah dan sopan, harga tarifnya murah",Perilaku & Profesionalisme Driver,Positif,2024-05-02 07:28:44
42209,"kurirnya ramah dan sopan, harga tarifnya murah",Harga & Tarif,Positif,2024-05-02 07:28:44
42210,cepat dan murah,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-02 07:11:25
42211,cepat dan murah,Harga & Tarif,Positif,2024-05-02 07:11:25
42212,"petanya belum sempurna,",Akurasi GPS & Peta,Negatif,2024-05-02 06:26:41
42213,"Pemesanan waktu tunggu 21 menit sementara saya langsng jumpa dan langsung jalan dengan penggemudi, tidak ada menunggu, tarif naik hampir 50% sorry la, gak lagi lagi naek maxim",Ketersediaan Driver (Lama Menunggu),Negatif,2024-05-02 06:20:35
42214,"Pemesanan waktu tunggu 21 menit sementara saya langsng jumpa dan langsung jalan dengan penggemudi, tidak ada menunggu, tarif naik hampir 50% sorry la, gak lagi lagi naek maxim",Harga & Tarif,Negatif,2024-05-02 06:20:35
42215,supir ramah mobil bersih,Perilaku & Profesionalisme Driver,Positif,2024-05-02 06:13:47
42216,supir ramah mobil bersih,Kondisi Kendaraan Driver,Positif,2024-05-02 06:13:47
42217,driver ramah perjalanan menyenangkan,Perilaku & Profesionalisme Driver,Positif,2024-05-02 05:29:09
42218,driver ramah perjalanan menyenangkan,Umum,Positif,2024-05-02 05:29:09
42219,"perjalan nyaman,ramah,semogasehat selalu pak",Perilaku & Profesionalisme Driver,Positif,2024-05-02 05:22:54
42220,"perjalan nyaman,ramah,semogasehat selalu pak",Kondisi Kendaraan Driver,Positif,2024-05-02 05:22:54
42221,Tolong di perluas lagi alamatnya ya Maxim 🙏,Akurasi GPS & Peta,Negatif,2024-05-02 04:52:36
42222,mantap bang drivernya,Perilaku & Profesionalisme Driver,Positif,2024-05-02 04:51:27
42223,pelayanan ok mantap,Umum,Positif,2024-05-02 04:09:24
42224,Saya mengisi maxim wallet. Sudah berhasil tapi saldonya tidak masuk,Sistem Pembayaran & Promo,Negatif,2024-05-02 03:58:18
42225,terimakasih sudah bekerja dgn baik,Umum,Positif,2024-05-02 03:51:42
42226,bagus cepat dan ramah,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-02 03:35:20
42227,bagus cepat dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-05-02 03:35:20
42228,Alhamdulillah BPK nya ramah antar sampe tujuan Deng aman selamat👍🙏🏿,Perilaku & Profesionalisme Driver,Positif,2024-05-02 03:20:01
42229,driver nya sangat bagus lagi ramah,Perilaku & Profesionalisme Driver,Positif,2024-05-02 03:10:43
42230,pelayanan sangat memuaskan,Umum,Positif,2024-05-02 03:05:01
42231,mantaappppp.. semoga berkembang maxim dan bisa menyejahterakan mitranya aminn,Umum,Positif,2024-05-02 02:50:00
42232,mantaappppp.. semoga berkembang maxim dan bisa menyejahterakan mitranya aminn,Perilaku & Profesionalisme Driver,Positif,2024-05-02 02:50:00
42233,Aplikasi yg sangat penting untuk bepergian,Umum,Positif,2024-05-02 02:36:49
42234,"pemilihan rute bagus, sikap driver ramah",Akurasi GPS & Peta,Positif,2024-05-02 02:27:12
42235,"pemilihan rute bagus, sikap driver ramah",Perilaku & Profesionalisme Driver,Positif,2024-05-02 02:27:12
42236,"pesanan gerak cepat, pengemudi ramah dan Sopan",Ketersediaan Driver (Lama Menunggu),Positif,2024-05-02 02:04:48
42237,"pesanan gerak cepat, pengemudi ramah dan Sopan",Perilaku & Profesionalisme Driver,Positif,2024-05-02 02:04:48
42238,cepet bawa mobily enak,Kondisi Kendaraan Driver,Positif,2024-05-02 01:27:59
42239,cepet bawa mobily enak,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-02 01:27:59
42240,nyaman dan sampai ketujaun dengan selamat,Umum,Positif,2024-05-02 01:19:40
42241,"trimah kasih pak, sangat membantu",Umum,Positif,2024-05-02 00:45:03
42242,"barang selamat sampe tujuan ,trimakasi,cepat datang nya",Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-02 00:31:38
42243,"respon cepat,ramah,baik om nya",Perilaku & Profesionalisme Driver,Positif,2024-05-02 00:25:26
42244,"respon cepat,ramah,baik om nya",Customer Service,Positif,2024-05-02 00:25:26
42245,Alhamdulillah Bapaknya ramah dan amanah. Alhamdulillah anak sampai di sekolah tepat waktu.,Perilaku & Profesionalisme Driver,Positif,2024-05-02 00:02:54
42246,"cepat datang cepat sampai, terimakasih",Ketersediaan Driver (Lama Menunggu),Positif,2024-05-01 23:47:59
42247,bagus.. pelayanan nya ramah,Umum,Positif,2024-05-01 23:47:13
42248,bagus.. pelayanan nya ramah,Perilaku & Profesionalisme Driver,Positif,2024-05-01 23:47:13
42249,"pengemudi ramah, mobilnya bersih dan wangi",Perilaku & Profesionalisme Driver,Positif,2024-05-01 23:36:15
42250,"pengemudi ramah, mobilnya bersih dan wangi",Kondisi Kendaraan Driver,Positif,2024-05-01 23:36:15
42251,cepat dan ramah,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-01 23:34:31
42252,cepat dan ramah,Perilaku & Profesionalisme Driver,Positif,2024-05-01 23:34:31
42253,Mohon agar semua Maxim segera cepat saya sering terlambat karena Maxim,Ketersediaan Driver (Lama Menunggu),Negatif,2024-05-01 23:07:28
42254,terjangkau harganya,Harga & Tarif,Positif,2024-05-01 22:48:57
42255,"terima kasih abang,semoga rezekinya lancar aamiin",Umum,Positif,2024-05-01 22:38:22
42256,layanan baik dan driver ramah,Customer Service,Positif,2024-05-01 22:34:34
42257,layanan baik dan driver ramah,Perilaku & Profesionalisme Driver,Positif,2024-05-01 22:34:34
42258,"maksudnya apa ya maxim ini kenapa kok semua sopirnya nggak ramah dan protes sama harganya maksudnya gimana ya ? saya sebagai penumpang loh, kalau memang mau naikin harga ya naikin aja dari pada murah tapi supirnya nggak ramah",Perilaku & Profesionalisme Driver,Negatif,2024-05-01 15:44:20
42259,"maksudnya apa ya maxim ini kenapa kok semua sopirnya nggak ramah dan protes sama harganya maksudnya gimana ya ? saya sebagai penumpang loh, kalau memang mau naikin harga ya naikin aja dari pada murah tapi supirnya nggak ramah",Harga & Tarif,Negatif,2024-05-01 15:44:20
42260,"perjalanan sangat nyaman dan driver sangat ramah, terimakasih banyak",Perilaku & Profesionalisme Driver,Positif,2024-05-01 15:43:08
42261,"perjalanan sangat nyaman dan driver sangat ramah, terimakasih banyak",Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 15:43:08
42262,"Pindahan pke jasa ini ,jelek, tas Eiger punya suami saya berisi hp, dompet, sama kunci motor dibawa kabur oleh SUTRISNO dengan SUZUKI CARRY warna putih, nopol T8716AL,,, NO hp pelaku Sutrisno ditelfon sudah tidak aktif,,, mohon ditindak lanjuti yah min mohon bantuannya 🙏🙏 kejadiannya di Telukjambe",Perilaku & Profesionalisme Driver,Negatif,2024-05-01 15:08:45
42263,"Pindahan pke jasa ini ,jelek, tas Eiger punya suami saya berisi hp, dompet, sama kunci motor dibawa kabur oleh SUTRISNO dengan SUZUKI CARRY warna putih, nopol T8716AL,,, NO hp pelaku Sutrisno ditelfon sudah tidak aktif,,, mohon ditindak lanjuti yah min mohon bantuannya 🙏🙏 kejadiannya di Telukjambe",Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2024-05-01 15:08:45
42264,Terimakasih atas pelayanannya dan pengantaran sampai dengan selamat,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 15:02:13
42265,sesuai pesanan dan tepat waktu,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 15:01:05
42266,"Murah, nyaman dan aman",Umum,Positif,2024-05-01 14:26:15
42267,Pengemudi mengemudikan motor sambil bermain game Ludo. Sudah saya laporkan diaplikasi tapi tanggapan CS tidak memuaskan.,Perilaku & Profesionalisme Driver,Negatif,2024-05-01 14:07:10
42268,Pengemudi mengemudikan motor sambil bermain game Ludo. Sudah saya laporkan diaplikasi tapi tanggapan CS tidak memuaskan.,Customer Service,Negatif,2024-05-01 14:07:10
42269,pelayanan luar biasa mantap,Umum,Positif,2024-05-01 13:42:46
42270,Terima Kasih Tepat Waktu Abang trm kasih,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-01 13:33:42
42271,ramah dan waktu penjemputan cepat,Perilaku & Profesionalisme Driver,Positif,2024-05-01 13:32:49
42272,ramah dan waktu penjemputan cepat,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-01 13:32:49
42273,Tolong dong ditingkatkan lagi dari pencarian kurirnya terutama untuk pesan antar makanan susah kali dpat kurir. Untuk sementara saya kasih bintang segini dlu,Ketersediaan Driver (Lama Menunggu),Negatif,2024-05-01 13:06:24
42274,Tolong dong ditingkatkan lagi dari pencarian kurirnya terutama untuk pesan antar makanan susah kali dpat kurir. Untuk sementara saya kasih bintang segini dlu,Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2024-05-01 13:06:24
42275,"Alhamdulillah pelayanan nya bagus, dan nyaman, terimakasih banyak transportasi nya",Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 12:35:28
42276,"Alhamdulillah pelayanan nya bagus, dan nyaman, terimakasih banyak transportasi nya",Umum,Positif,2024-05-01 12:35:28
42277,"Udh nunggu 1 jam gk dpet drivernya, trus mau d cancel jga gabisa tiap mencet cancel psti gada respon pdhal bsa d geser atau mesan baru, ampas",Ketersediaan Driver (Lama Menunggu),Negatif,2024-05-01 12:19:47
42278,"Udh nunggu 1 jam gk dpet drivernya, trus mau d cancel jga gabisa tiap mencet cancel psti gada respon pdhal bsa d geser atau mesan baru, ampas",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-05-01 12:19:47
42279,terima kasih bang maxim yg pelayanannya ramah dan baik,Perilaku & Profesionalisme Driver,Positif,2024-05-01 12:04:59
42280,sangat sopan dan baik ramah,Perilaku & Profesionalisme Driver,Positif,2024-05-01 11:43:34
42281,"mantap,hebat.. cepat",Umum,Positif,2024-05-01 11:38:50
42282,"aplikasinya bagus, bisadi jemput sesuai titik",UI/UX Aplikasi (Tampilan/Desain),Positif,2024-05-01 11:10:59
42283,"aplikasinya bagus, bisadi jemput sesuai titik",Akurasi GPS & Peta,Positif,2024-05-01 11:10:59
42284,pengantaran sangat memuaskan sekali 👍👍,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 10:49:03
42285,"pengemudi ramah, tau jalan, serta pelayanan sangat baik 👍",Perilaku & Profesionalisme Driver,Positif,2024-05-01 10:45:25
42286,"pengemudi ramah, tau jalan, serta pelayanan sangat baik 👍",Perilaku & Profesionalisme Driver,Positif,2024-05-01 10:45:25
42287,pengemudi baik dan sopan,Perilaku & Profesionalisme Driver,Positif,2024-05-01 10:37:34
42288,"pesen udah mau 30 menit gak dateng"" , keterangan di aplikasi padahal segera tiba, KACAU INI APLIKASI,",Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2024-05-01 10:23:59
42289,"pesen udah mau 30 menit gak dateng"" , keterangan di aplikasi padahal segera tiba, KACAU INI APLIKASI,",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-05-01 10:23:59
42290,"Terakhir kali naik Maxime kemaren apesss banget , saya kehilangan handphone , pas di lacak masih di dalam mobilnya tapi si supir nggak mau ngaku , yasudah lah nggak lagi lagi.",Perilaku & Profesionalisme Driver,Negatif,2024-05-01 10:02:05
42291,sudah baik cuma dimaps nya aja yg masih kurang mencari titik tujuan,Akurasi GPS & Peta,Negatif,2024-05-01 09:13:08
42292,"terima kasih, pelayanan nya bagus",Customer Service,Positif,2024-05-01 09:03:13
42293,"Ongkos lebih murah, driver ramah",Harga & Tarif,Positif,2024-05-01 08:40:46
42294,"Ongkos lebih murah, driver ramah",Perilaku & Profesionalisme Driver,Positif,2024-05-01 08:40:46
42295,bapak nya ramah dan enak diajak bicara,Perilaku & Profesionalisme Driver,Positif,2024-05-01 06:57:59
42296,pengiriman sangat lancar,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 06:52:24
42297,"ramah, baik,sabar, bawa mtr nya nyantai, jdi ga takut",Perilaku & Profesionalisme Driver,Positif,2024-05-01 06:34:02
42298,"ramah, baik,sabar, bawa mtr nya nyantai, jdi ga takut",Perilaku & Profesionalisme Driver,Positif,2024-05-01 06:34:02
42299,Sangat buruk pengemudi nya milih milih argo,Perilaku & Profesionalisme Driver,Negatif,2024-05-01 06:21:08
42300,"Udah bagus terus harga nya murah murah TPI driver nya lama,TPI juga ada driver yg kek mana gitu bikin kesel ,jadi males tapi apk nya bagus kok murah murah",Harga & Tarif,Positif,2024-05-01 05:36:56
42301,"Udah bagus terus harga nya murah murah TPI driver nya lama,TPI juga ada driver yg kek mana gitu bikin kesel ,jadi males tapi apk nya bagus kok murah murah",Ketersediaan Driver (Lama Menunggu),Negatif,2024-05-01 05:36:56
42302,"Udah bagus terus harga nya murah murah TPI driver nya lama,TPI juga ada driver yg kek mana gitu bikin kesel ,jadi males tapi apk nya bagus kok murah murah",Perilaku & Profesionalisme Driver,Negatif,2024-05-01 05:36:56
42303,"Udah bagus terus harga nya murah murah TPI driver nya lama,TPI juga ada driver yg kek mana gitu bikin kesel ,jadi males tapi apk nya bagus kok murah murah",UI/UX Aplikasi (Tampilan/Desain),Positif,2024-05-01 05:36:56
42304,baik..ramah..sopan..dan..tepat cepat sampai tujuan,Perilaku & Profesionalisme Driver,Positif,2024-05-01 05:25:14
42305,baik..ramah..sopan..dan..tepat cepat sampai tujuan,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-01 05:25:14
42306,pelayanannya bagus,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 05:15:29
42307,fast respon dan ramah,Customer Service,Positif,2024-05-01 05:14:15
42308,ramah dan sopan enak diajak ngobrol serta tau jalan,Perilaku & Profesionalisme Driver,Positif,2024-05-01 05:12:35
42309,ramah dan sopan enak diajak ngobrol serta tau jalan,Akurasi GPS & Peta,Positif,2024-05-01 05:12:35
42310,pelayanan nya bgus abangnya ramah,Perilaku & Profesionalisme Driver,Positif,2024-05-01 05:00:58
42311,"dapet orderan lama, padahal ada yang Deket tapi lama dapet nya 👎🏼",Ketersediaan Driver (Lama Menunggu),Negatif,2024-05-01 04:56:33
42312,"cepat tanggap, dan bersahabat",Perilaku & Profesionalisme Driver,Positif,2024-05-01 04:53:39
42313,pengiriman cepat driver ramah,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 04:50:26
42314,pengiriman cepat driver ramah,Perilaku & Profesionalisme Driver,Positif,2024-05-01 04:50:26
42315,"bantu tambahkan fitur kirim gambar di chat, supaya memudahkan komunikasi antara penumpang dan driver.",UI/UX Aplikasi (Tampilan/Desain),Positif,2024-05-01 04:50:19
42316,saya customer: bagus ongkos murah cepat di dapat dan driver nya ramah2.,Harga & Tarif,Positif,2024-05-01 04:48:40
42317,saya customer: bagus ongkos murah cepat di dapat dan driver nya ramah2.,Ketersediaan Driver (Lama Menunggu),Positif,2024-05-01 04:48:40
42318,saya customer: bagus ongkos murah cepat di dapat dan driver nya ramah2.,Perilaku & Profesionalisme Driver,Positif,2024-05-01 04:48:40
42319,tolong lah kalo driver jangan suka gak pernah di kembalian mana di tambah kalo jalan suka gak tau arah,Perilaku & Profesionalisme Driver,Negatif,2024-05-01 04:47:29
42320,tolong lah kalo driver jangan suka gak pernah di kembalian mana di tambah kalo jalan suka gak tau arah,Akurasi GPS & Peta,Negatif,2024-05-01 04:47:29
42321,"worth it bngt,mas nya ramah",Harga & Tarif,Positif,2024-05-01 04:36:36
42322,"worth it bngt,mas nya ramah",Perilaku & Profesionalisme Driver,Positif,2024-05-01 04:36:36
42323,pelayanan luar biasa trimakasih banyak pak,Umum,Positif,2024-05-01 04:25:12
42324,"Aplikasinya nda jelas main block"" Saya saya gmna mau pake lagi mending si ijo jelas",UI/UX Aplikasi (Tampilan/Desain),Negatif,2024-05-01 04:24:07
42325,Terima kasih buat Maxim karena ini salah satu solusi lahan pekerjaan juga,Umum,Positif,2024-05-01 04:04:14
42326,driver nya santai baik dan sopan,Perilaku & Profesionalisme Driver,Positif,2024-05-01 03:49:59
42327,terimakasih bapak .... semoga driver seperti ini selalu ada di kota Duri,Perilaku & Profesionalisme Driver,Positif,2024-05-01 03:44:32
42328,"top markotop, ramah tamah",Umum,Positif,2024-05-01 03:40:49
42329,"pak driver baik, infomatif terimakasih pak semoga makin lancar rezekinya",Perilaku & Profesionalisme Driver,Positif,2024-05-01 03:38:21
42330,bagus tp sy harap bisa bayar non cash,Umum,Positif,2024-05-01 03:28:51
42331,bagus tp sy harap bisa bayar non cash,Sistem Pembayaran & Promo,Negatif,2024-05-01 03:28:51
42332,Gimana ini? Saya udah isi saldo maxim kok blum masuk2?,Sistem Pembayaran & Promo,Negatif,2024-05-01 03:16:43
42333,ramah harga lebih murah,Perilaku & Profesionalisme Driver,Positif,2024-05-01 03:06:45
42334,ramah harga lebih murah,Harga & Tarif,Positif,2024-05-01 03:06:45
42335,terima kasih barang uda sampe tuujuan,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 01:49:06
42336,"nyaman, mobil bersih wangi sekali",Kondisi Kendaraan Driver,Positif,2024-05-01 01:13:44
42337,Alhamdulillah cepat sampai,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-05-01 00:54:42
42338,lumayan Murah.. Kasih Tip aja ke Drivernya bt bensin mereka,Harga & Tarif,Positif,2024-05-01 00:40:06
42339,lumayan Murah.. Kasih Tip aja ke Drivernya bt bensin mereka,Perilaku & Profesionalisme Driver,Positif,2024-05-01 00:40:06
42340,"aplikasinya suka eror, sy pesan mknn 1 kali masa yg dtg 2 driver, gilaa bkn cm sekali tp sering, dan kl mau cancel jg ga bisaaa",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-05-01 00:34:01
42341,"aplikasinya suka eror, sy pesan mknn 1 kali masa yg dtg 2 driver, gilaa bkn cm sekali tp sering, dan kl mau cancel jg ga bisaaa",Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2024-05-01 00:34:01
42342,"aplikasinya suka eror, sy pesan mknn 1 kali masa yg dtg 2 driver, gilaa bkn cm sekali tp sering, dan kl mau cancel jg ga bisaaa",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2024-05-01 00:34:01
42343,sangat membantu.. mkasih atas pelayanannya,Umum,Positif,2024-04-30 23:59:22
42344,Mohon untuk pihak maxim. Untuk pecarian tujuan di map di update lagi. Karena tidak bisa menemukan akurasi tujuan yg pas,Akurasi GPS & Peta,Negatif,2024-04-30 23:23:35
42345,"Maxim sekarang drivernya sangat lambat, beberapa kali harus nunggu sampai 30menit, udah gitu kalo keterlambatan dari drivernya malah nambah biaya nya parah bgt",Ketersediaan Driver (Lama Menunggu),Negatif,2024-04-30 23:02:07
42346,"Maxim sekarang drivernya sangat lambat, beberapa kali harus nunggu sampai 30menit, udah gitu kalo keterlambatan dari drivernya malah nambah biaya nya parah bgt",Harga & Tarif,Negatif,2024-04-30 23:02:07
42347,cepat dan sopan,Ketersediaan Driver (Lama Menunggu),Positif,2024-04-30 22:58:00
42348,cepat dan sopan,Perilaku & Profesionalisme Driver,Positif,2024-04-30 22:58:00
42349,"Harganya terjangkau banget untuk maxim, berkelas pokoknya🔥🔥🔥🔥",Harga & Tarif,Positif,2024-04-30 20:48:58
42350,"Harganya terjangkau banget untuk maxim, berkelas pokoknya🔥🔥🔥🔥",Umum,Positif,2024-04-30 20:48:58
42351,semua bagus drivernya bagus harga terjangkau,Perilaku & Profesionalisme Driver,Positif,2024-04-30 19:49:34
42352,semua bagus drivernya bagus harga terjangkau,Harga & Tarif,Positif,2024-04-30 19:49:34
42353,Terbaik dan tepat waktu,Umum,Positif,2024-04-30 18:12:11
42354,Terbaik dan tepat waktu,Ketersediaan Driver (Lama Menunggu),Positif,2024-04-30 18:12:11
42355,"maxim yg baik nih, mau antarin barang sya yg ketinggalan. makasih bg",Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2024-04-30 17:04:14
